"","Patch_ID","Year","Average_Pollinia","City_dist","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Urb_score","Average_pod_length","density_sqm_18","pods_per_ped"
"107","MW068","2018",NA,28.1071525454643,"North",7.4,96,180,28,96,2.8,2.8,5,1.16536,NA,6.42857142857143,0.378378378378378
"108","MW068","2019",0.533333333333333,28.1071525454643,"North",9.2,133.8,180,28,127.6,3.2,3.2,5,1.16536,7.59166666666667,6.42857142857143,0.347826086956522
"109","MW069","2018",NA,28.1203606988092,"South",4.5,88.25,1000,20,88.25,1.25,1.25,5,1.41576,NA,50,0.277777777777778
"110","MW069","2019",NA,28.1203606988092,"South",NA,NA,1000,20,NA,NA,0,5,1.41576,NA,50,NA
"111","MW070","2018",NA,29.9498682493043,"North",NA,NA,1000,20,NA,NA,NA,5,3.02269,NA,50,NA
"112","MW070","2019",1.06666666666667,29.9498682493043,"North",NA,102.1,1000,20,NA,NA,0,5,3.02269,NA,50,NA
"113","MW071","2018",1.33333333333333,29.2096546494702,"North",NA,NA,5,5,NA,NA,NA,5,1.56034,NA,1,NA
"114","MW071","2019",0.666666666666667,29.2096546494702,"North",NA,94,5,5,NA,NA,0,5,1.56034,NA,1,NA
"115","MW072","2018",NA,28.1480398703139,"North",10.4,73.4,8000,14,73.4,9.2,9.2,5,1.55917,NA,571.428571428571,0.884615384615384
"116","MW072","2019",0.688888888888889,28.1480398703139,"North",9.2,96,8000,14,127.6,3.2,3.2,5,1.55917,9.16,571.428571428571,0.347826086956522
"117","MW073","2018",NA,32.350827430692,"North",NA,NA,300,33,NA,NA,NA,5,1.95501,NA,9.09090909090909,NA
"118","MW073","2019",0.488888888888889,32.350827430692,"North",9.6,121.5,300,33,108.6,3.8,6.4,5,1.95501,5.84833333333333,9.09090909090909,0.666666666666667
"119","MW074","2018",NA,23.9149269077296,"South",2.4,60.2,4000,7,60.2,0.4,0.4,5,2.71046,NA,571.428571428571,0.166666666666667
"120","MW074","2019",0.555555555555556,23.9149269077296,"South",7.4,105,4000,7,85.4,2.6,2.6,5,2.71046,6.6,571.428571428571,0.351351351351351
"121","MW075","2018",NA,22.558758446384,"South",NA,NA,NA,NA,NA,NA,NA,1,2.32931,NA,NA,NA
"122","MW075","2019",0.305555555555556,NA,"South",NA,97,NA,NA,NA,NA,0,2,2.32931,NA,NA,NA
"123","MW077","2018",1.37777777777778,20.5069567190536,"South",10.4,104.2,4,26,104.2,2.4,2.4,5,2.03083,NA,0.153846153846154,0.230769230769231
"124","MW077","2019",1.06666666666667,20.5069567190536,"South",NA,132.2,4,26,NA,NA,0,5,2.03083,NA,0.153846153846154,NA
"125","MW079","2018",NA,17.4375813140448,"South",11.4,90.8,15000,6,90.8,15,15,5,2.43357,NA,2500,1.31578947368421
"126","MW079","2019",0.177777777777778,17.4375813140448,"South",11.2,104,15000,6,100.4,8.8,10,5,2.43357,7.28288888888889,2500,0.892857142857143
"127","MW080","2018",NA,14.0968646967494,"South",NA,NA,8800,32,NA,NA,NA,5,2.18288,NA,275,NA
"128","MW080","2019",1.66666666666667,14.0968646967494,"South",5.25,96,8800,32,73.75,5,4,5,2.18288,5.62888888888889,275,0.761904761904762
