Picture_name;Cells_where_building_label=2;Cells_where_vegetation_label=2;Cells_where_road_label=1;Avg_building_labels;Avg_vegetation_labels;PCA_value;Location_name
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\81\01.bmp;61;34;71;1.45;1.32;1.16536;AS081
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\82\01.bmp;59;30;86;1.41;1.3;1.41576;AS082
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\83\01.bmp;90;8;74;1.84;0.75;3.02269;AS083
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\84\01.bmp;69;26;73;1.53;1.26;1.56034;AS084
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\85\01.bmp;70;28;71;1.62;1.28;1.55917;AS085
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\86\01.bmp;75;21;83;1.54;1.2;1.95501;AS086
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\87\01.bmp;82;6;86;1.8;1.04;2.71046;AS087
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\88\01.bmp;78;15;83;1.75;1.13;2.32931;AS088
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\89\01.bmp;73;16;77;1.58;1.16;1.98333;AS089
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\9\01.bmp;20;67;45;0.62;1.67;-1.36283;AS009
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\90\01.bmp;81;16;67;1.69;1.16;2.03083;AS090
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\91\01.bmp;79;12;70;1.7;1.12;2.16088;AS091
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\92\01.bmp;79;5;65;1.78;0.97;2.43357;AS092
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\93\01.bmp;57;10;97;1.54;1.1;2.18288;AS093
