Patch_ID,Pop_ID,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Reference_lat,Reference_long
AS069,MW056,43.671068,-79.452408,South,3.72,,
AS070,MW057,43.67024,-79.462135,South,4.17,,
AS070,MW057,43.67024,-79.462135,South,4.17,,
AS070,MW057,43.67024,-79.462135,South,4.17,,
AS070,MW057,43.67024,-79.462135,South,4.17,,
AS070,MW057,43.67024,-79.462135,South,4.17,,
AS071,MW058,43.671812,-79.474258,South,4.79,,
AS071,MW058,43.671812,-79.474258,South,4.79,,
AS071,MW058,43.671812,-79.474258,South,4.79,,
AS071,MW058,43.671812,-79.474258,South,4.79,,
AS071,MW058,43.671812,-79.474258,South,4.79,,
AS072,MW059,43.670454,-79.482484,South,5.17,,
AS072,MW059,43.670454,-79.482484,South,5.17,,
AS072,MW059,43.670454,-79.482484,South,5.17,,
AS072,MW058,43.670454,-79.482484,South,5.17,,
AS072,MW058,43.670454,-79.482484,South,5.17,,
AS073,MW059,43.646988,-79.583587,North,10.15,,
AS073,MW059,43.646988,-79.583587,North,10.15,,
AS073,MW059,43.646988,-79.583587,North,10.15,,
AS073,MW059,43.646988,-79.583587,North,10.15,,
AS073,MW059,43.646988,-79.583587,North,10.15,,
AS074,MW060,43.654607,-79.607519,North,11.33,,
AS074,MW060,43.654607,-79.607519,North,11.33,,
AS074,MW060,43.654607,-79.607519,North,11.33,,
AS074,MW060,43.654607,-79.607519,North,11.33,,
AS074,MW060,43.654607,-79.607519,North,11.33,,
AS075,MW061,43.651476,-79.617876,North,11.85,,
AS075,MW061,43.651476,-79.617876,North,11.85,,
AS075,MW061,43.651476,-79.617876,North,11.85,,
AS075,MW061,43.651476,-79.617876,North,11.85,,
AS075,MW061,43.651476,-79.617876,North,11.85,,
AS076,MW062,43.63776,-79.635241,North,12.78,,
AS076,MW062,43.63776,-79.635241,North,12.78,,
AS076,MW062,43.63776,-79.635241,North,12.78,,
AS076,MW062,43.63776,-79.635241,North,12.78,,
AS076,MW062,43.63776,-79.635241,North,12.78,,
AS077,MW063,43.628807,-79.652009,North,13.69,,
AS077,MW063,43.628807,-79.652009,North,13.69,,
AS077,MW063,43.628807,-79.652009,North,13.69,,
AS077,MW063,43.628807,-79.652009,North,13.69,,
