Year,Pop_ID,Patch_ID,Plant_Num,Latitude,Longitude,Area_sq_m_2018,Plants_present_2018,City_dist,Transect_ID,Date,Height,Viable_Pods Produced,Aborted_Pods,Peduncles,Collected_pod_length,Other_pod_lengths,Collected_pod_width,Collected_pod_seed_number,Collected_pod_seed_weight,Notes
2019,AS028,MW015,4,43.661177,-79.500382,12,25,5.98,South,9/19/2019,135,5,0,3,10,"10.6,10,9.4,9.8",2.265,,,"Looks like pods were killed prematurely/growth stunted- very small, half-eaten/dead. Plants very late stage and <3m apart. No living leaf tissue left for P2 and P3; use pod"
2019,AS028,MW015,5,43.661177,-79.500382,12,25,5.98,South,9/19/2019,47,0,0,0,NA,NA,NA,NA,NA,x
2019,AS029,MW016,1,43.711948,-79.535894,100,15,8.65,North,9/12/2019,x,x,x,x,x,x,x,x,x,Population recently mowed.
2019,AS029,MW016,2,43.711948,-79.535894,100,15,8.65,North,9/12/2019,x,x,x,x,x,x,x,x,x,Population recently mowed.
2019,AS029,MW016,3,43.711948,-79.535894,100,15,8.65,North,9/12/2019,x,x,x,x,x,x,x,x,x,Population recently mowed.
2019,AS029,MW016,4,43.711948,-79.535894,100,15,8.65,North,9/12/2019,x,x,x,x,x,x,x,x,x,Population recently mowed.
2019,AS029,MW016,5,43.711948,-79.535894,100,15,8.65,North,9/12/2019,x,x,x,x,x,x,x,x,x,Population recently mowed.
2019,AS030,MW017,1,43.501061,-79.844567,8000,80,25.57,Rural,9/26/2019,86,1,0,2,6.2,NA,2.562,,,Plants <3 m apart
2019,AS030,MW017,2,43.501061,-79.844567,8000,80,25.57,Rural,9/26/2019,89,1,0,1,6.8,NA,2.496,,,Plants <3 m apart
2019,AS030,MW017,3,43.501061,-79.844567,8000,80,25.57,Rural,9/26/2019,83,3,0,2,8.6,"9,9",2.118,,,Plants <3 m apart
2019,AS030,MW017,4,43.501061,-79.844567,8000,80,25.57,Rural,9/26/2019,117,5,0,4,9,"9,9.2,10.4,8.6",2.004,,,Plants <3 m apart
2019,AS030,MW017,5,43.501061,-79.844567,8000,80,25.57,Rural,9/26/2019,104,2,0,3,8.4,10,2.521,,,Plants <3 m apart
2019,AS031,MW018,1,43.484111,-79.837702,12,30,25.78,Rural,x,x,x,x,x,x,x,x,x,x,"Had been weed-whacked earlier so heights didn't reflect true growth rate. Plus only 1 plant with pods, in ditch."
2019,AS031,MW018,2,43.484111,-79.837702,12,30,25.78,Rural,x,x,x,x,x,x,x,x,x,x,"Had been weed-whacked earlier so heights didn't reflect true growth rate. Plus only 1 plant with pods, in ditch."
2019,AS031,MW018,3,43.484111,-79.837702,12,30,25.78,Rural,x,x,x,x,x,x,x,x,x,x,"Had been weed-whacked earlier so heights didn't reflect true growth rate. Plus only 1 plant with pods, in ditch."
2019,AS031,MW018,4,43.484111,-79.837702,12,30,25.78,Rural,x,x,x,x,x,x,x,x,x,x,"Had been weed-whacked earlier so heights didn't reflect true growth rate. Plus only 1 plant with pods, in ditch."
2019,AS031,MW018,5,43.484111,-79.837702,12,30,25.78,Rural,x,x,x,x,x,x,x,x,x,x,"Had been weed-whacked earlier so heights didn't reflect true growth rate. Plus only 1 plant with pods, in ditch."
2019,AS032,MW019,1,43.41401,-79.953028,18,20,33.19,Rural,9/25/2019,136,1,0,8,11,NA,2.496,,,Plants <3 m apart
2019,AS032,MW019,2,43.41401,-79.953028,18,20,33.19,Rural,9/25/2019,117,1,0,4,8.6,NA,1.882,,,Plants <3 m apart
2019,AS032,MW019,3,43.41401,-79.953028,18,20,33.19,Rural,9/25/2019,117,1,0,5,11.2,NA,2.324,,,Plants <3 m apart
2019,AS032,MW019,4,43.41401,-79.953028,18,20,33.19,Rural,9/25/2019,137,1,0,7,11,NA,2.353,,,Plants <3 m apart
2019,AS032,MW019,5,43.41401,-79.953028,18,20,33.19,Rural,9/25/2019,135,1,0,7,NA,NA,2.702,,,Plants <3 m apart
2019,AS033,MW020,1,43.387612,-79.959232,2400,60,34.41,Rural,9/25/2019,89,3,0,5,9.2,"9,10",3.005,,,Plants <3 m apart
2019,AS033,MW020,2,43.387612,-79.959232,2400,60,34.41,Rural,9/25/2019,89,1,0,2,10.6,NA,3.372,,,Plants <3 m apart
2019,AS033,MW020,3,43.387612,-79.959232,2400,60,34.41,Rural,9/25/2019,89,2,0,4,10.4,10.6,3.014,,,Plants <3 m apart
2019,AS033,MW020,4,43.387612,-79.959232,2400,60,34.41,Rural,9/25/2019,98,2,0,6,9.4,8.8,3.124,,,Plants <3 m apart
2019,AS033,MW020,5,43.387612,-79.959232,2400,60,34.41,Rural,9/25/2019,63,1,0,3,9.2,NA,3.014,,,Plants <3 m apart
2019,AS034,MW021,1,43.399222,-79.930576,1500,60,32.77,Rural,9/25/2019,113,2,0,6,15.2,12,2.89,,,Plants >3 m apart
2019,AS034,MW021,2,43.399222,-79.930576,1500,60,32.77,Rural,9/25/2019,86,1,0,2,11.2,NA,2.213,,,Plants >3 m apart
2019,AS034,MW021,3,43.399222,-79.930576,1500,60,32.77,Rural,9/25/2019,128,2,0,4,10,7,2.634,,,Plants >3 m apart
2019,AS034,MW021,4,43.399222,-79.930576,1500,60,32.77,Rural,9/25/2019,109,5,0,5,9.2,"9,8,8,8.6",2.402,,,Plants >3 m apart
2019,AS034,MW021,5,43.399222,-79.930576,1500,60,32.77,Rural,9/25/2019,141,3,0,5,14,"14,14.2",3.003,,,Plants >3 m apart
2019,AS035,MW022,1,43.377146,-79.973861,30,13,35.42,Rural,x,x,x,x,x,x,x,x,x,x,Mowed- no plants
2019,AS035,MW022,2,43.377146,-79.973861,30,13,35.42,Rural,x,x,x,x,x,x,x,x,x,x,Mowed- no plants
2019,AS035,MW022,3,43.377146,-79.973861,30,13,35.42,Rural,x,x,x,x,x,x,x,x,x,x,Mowed- no plants
2019,AS035,MW022,4,43.377146,-79.973861,30,13,35.42,Rural,x,x,x,x,x,x,x,x,x,x,Mowed- no plants
2019,AS035,MW022,5,43.377146,-79.973861,30,13,35.42,Rural,x,x,x,x,x,x,x,x,x,x,Mowed- no plants
2019,AS036,MW023,1,43.371308,-79.981819,600,20,35.98,Rural,9/25/2019,90,6,0,6,10.4,"8.6,8.6,8,9,10,10",3.02,,,Plants 2 & 3 <3 m apart
2019,AS036,MW023,2,43.371308,-79.981819,600,20,35.98,Rural,9/25/2019,75,4,0,2,10.6,"10,11,8",2.651,,,Plants 2 & 3 <3 m apart
2019,AS036,MW023,3,43.371308,-79.981819,600,20,35.98,Rural,9/25/2019,40,0,0,2,NA,NA,NA,NA,NA,Plants 2 & 3 <3 m apart
