Year,Pop_ID,Patch_ID,Plant_Num,Pollinia_1_1,Pollinia_1_2,Pollinia_1_3,Pollinia_2_1,Pollinia_2_2,Pollinia_2_3,Pollinia_3_1,Pollinia_3_2,Pollinia_3_3,Height_cm,Pop_Age_Stage,Date_Found,Date_Found_365,Ramets,Surveyor,Notes,Latitude,Longitude,Area_sq_m_2018,Plants_present_2018,City_dist,Transect_ID,Date,Height,Viable_Pods,Aborted_Pods,Total_Pods,Peduncles,Collected_pod_length,Other_pod_lengths,Collected_pod_width,Collected_pod_seed_number,Collected_pod_seed_weight,Notes_PodCollecting
2019,AS016,MW006,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.436081,-79.777321,200,60,25.01,Rural,9/26/2019,102,2,0,2,5,9.6,10,2.429,,,"Samples for MW006 taken from AS014, 15, and 16. (2, 1, 2) Plants >3 m apart."
2019,AS016,MW006,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.436081,-79.777321,200,60,25.01,Rural,9/26/2019,115,2,0,2,5,11.2,10.4,2.775,,,"Samples for MW006 taken from AS014, 15, and 16. (2, 1, 2) Plants >3 m apart."
2019,AS016,MW006,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.436081,-79.777321,200,60,25.01,Rural,9/26/2019,131,3,0,3,4,9.6,"9.8,10",3.212,,,"Samples for MW006 taken from AS014, 15, and 16. (2, 1, 2) Plants >3 m apart."
2019,AS016,MW006,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.436081,-79.777321,200,60,25.01,Rural,9/26/2019,119,5,0,5,4,11.6,"11,9.6,9,10",2.622,,,"Samples for MW006 taken from AS014, 15, and 16. (2, 1, 2) Plants >3 m apart."
2019,AS016,MW006,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.436081,-79.777321,200,60,25.01,Rural,9/26/2019,101,1,0,1,5,9.6,NA,2.317,,,"Samples for MW006 taken from AS014, 15, and 16. (2, 1, 2) Plants >3 m apart."
2019,AS017,MW007,1,5,5,3,1,5,1,2,3,0,134,Early-Late,7/15/2019,196,1,Sophie,x,43.434493,-79.904435,1,2,30.37,Rural,9/26/2019,118,4,0,4,6,10.4,"12.2,9,12.6",2.873,,,All surveys taken from AS019-AS020.
2019,AS017,MW007,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434493,-79.904435,1,2,30.37,Rural,9/26/2019,101,5,0,5,2,8,"8,8,7.6",3.02,,,All surveys taken from AS019-AS020.
2019,AS018,MW007,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434819,-79.902274,1,3,30.27,Rural,9/26/2019,108,5,0,5,5,8.2,"8.6,7.8,9,8.2",2.771,,,All surveys taken from AS019-AS020.
2019,AS018,MW007,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434819,-79.902274,1,3,30.27,Rural,9/26/2019,110,4,0,4,4,9.8,"9,9.2,10",2.856,,,All surveys taken from AS019-AS020.
2019,AS018,MW007,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434819,-79.902274,1,3,30.27,Rural,9/26/2019,128,9,0,9,5,10.2,"10,10,10,11,11.6,9.8,9.4,8.4",2.429,,,All surveys taken from AS019-AS020.
2019,AS019,MW007,1,2,1,2,3,2,1,0,0,0,136,Early-Late,7/15/2019,196,1,Sophie,x,43.434125,-79.903894,36,50,30.36,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS019,MW007,2,4,1,2,5,4,4,2,2,2,130,Early-Late,7/15/2019,196,1,Sophie,x,43.434125,-79.903894,36,50,30.36,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS019,MW007,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434125,-79.903894,36,50,30.36,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS019,MW007,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434125,-79.903894,36,50,30.36,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS019,MW007,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.434125,-79.903894,36,50,30.36,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS020,MW007,1,0,0,5,3,0,1,3,5,2,125,Early-Late,7/15/2019,196,1,Sophie,x,43.433302,-79.902403,900,300,30.32,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS020,MW007,2,4,3,3,4,2,5,0,2,5,122,Early-Late,7/15/2019,196,1,Sophie,x,43.433302,-79.902403,900,300,30.32,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS020,MW007,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.433302,-79.902403,900,300,30.32,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS020,MW007,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.433302,-79.902403,900,300,30.32,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS020,MW007,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43.433302,-79.902403,900,300,30.32,Rural,x,x,x,x,0,x,x,x,x,x,x,All surveys taken from AS019-AS020.
2019,AS021,MW008,1,3,2,2,3,2,2,x,x,x,88,Early-mid,7/15/2019,196,1,Sophie,"many plants weed-whacked, So flowers cut off",43.457451,-79.866815,21,25,27.94,Rural,x,x,x,x,0,x,x,x,x,x,x,Mowed/under construction
2019,AS021,MW008,2,0,0,0,2,0,2,x,x,x,105,Early-mid,7/15/2019,196,1,Sophie,x,43.457451,-79.866815,21,25,27.94,Rural,x,x,x,x,0,x,x,x,x,x,x,Mowed/under construction
2019,AS021,MW008,3,0,0,0,x,x,x,x,x,x,111,Early-Mid,7/15/2019,196,1,Sophie,x,43.457451,-79.866815,21,25,27.94,Rural,x,x,x,x,0,x,x,x,x,x,x,Mowed/under construction
2019,AS021,MW008,4,0,0,0,x,x,x,x,x,x,106,Early-Mid,7/15/2019,196,1,Sophie,x,43.457451,-79.866815,21,25,27.94,Rural,x,x,x,x,0,x,x,x,x,x,x,Mowed/under construction
2019,AS021,MW008,5,1,4,2,2,2,1,1,4,0,101,Early-Mid,7/15/2019,196,1,Sophie,x,43.457451,-79.866815,21,25,27.94,Rural,x,x,x,x,0,x,x,x,x,x,x,Mowed/under construction
2019,AS022,MW009,1,1,1,0,1,2,2,2,0,1,78.5,Middle,7/9/2019,190,1,Vanessa,20-30 plants at the point.,43.516263,-79.77922,21,25,22.16,Rural,x,x,x,x,0,x,x,x,x,x,x,Too steep to access. Very few plants anyway (~4)
2019,AS022,MW009,2,0,2,2,0,1,3,0,2,0,107,Middle,7/9/2019,190,1,Vanessa,20-30 plants at the point.,43.516263,-79.77922,21,25,22.16,Rural,x,x,x,x,0,x,x,x,x,x,x,Too steep to access. Very few plants anyway (~4)
2019,AS022,MW009,3,1,0,0,0,1,0,1,1,1,103,Middle,7/9/2019,190,1,Vanessa,20-30 plants at the point.,43.516263,-79.77922,21,25,22.16,Rural,x,x,x,x,0,x,x,x,x,x,x,Too steep to access. Very few plants anyway (~4)
2019,AS022,MW009,4,0,0,0,0,1,0,x,x,x,87,Middle,7/9/2019,190,1,Vanessa,20-30 plants at the point.,43.516263,-79.77922,21,25,22.16,Rural,x,x,x,x,0,x,x,x,x,x,x,Too steep to access. Very few plants anyway (~4)
2019,AS022,MW009,5,0,3,0,x,x,x,x,x,x,109,Middle,7/9/2019,190,1,Vanessa,20-30 plants at the point.,43.516263,-79.77922,21,25,22.16,Rural,x,x,x,x,0,x,x,x,x,x,x,Too steep to access. Very few plants anyway (~4)
